page,"Identificativo
U.I.",tipologia U.I.,descrizione U.I.,Id. Cespite,descrizione Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp.,Sub,Uso_in_atto,Titolarità
2,103,Fabbricato,M.11690-103-ABITAZIONE ERP,,"Edificio residenziale - Campiello
del Piovan 3752",V e n e z i a,C A M P I E L L O D E L P I O V A N,3 7 5 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C ASTELLO,01 - Venezia,16,1898,9,RESIDENZA;,Proprietà
2,106,Fabbricato,M.143670-106-ABITAZIONE ERP,,"Edificio residenziale - Ramo
Mezzo 5520 o c.lle della fava ex
ulss",V e n e z i a,R A M O D E M E Z O,5 5 2 0,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,803,13,RESIDENZA;,Proprietà
2,107,Fabbricato,M.143660-107-ABITAZIONE ERP,,"Edificio residenziale - Ramo
Mezzo 5520 o c.lle della fava ex
ulss",V e n e z i a,R A M O D E M E Z O,5 5 2 0,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,803,12,RESIDENZA;,Proprietà
2,108,Fabbricato,M.1150196-108-ABITAZIONE ERP,,"Edificio residenziale - Calle della
Corona 4741",V e n e z i a,C A L L E D E L A C O R O N A,4 7 4 1,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,1403,9,RESIDENZA;,Proprietà
2,111,Fabbricato,M.11770-111-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,11,RESIDENZA;,Proprietà
2,112,Fabbricato,M.11760-112-ABITAZIONE ERP,33,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,12,RESIDENZA;,Proprietà
2,113,Fabbricato,M.11780-113-ABITAZIONE ERP,33,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,13,RESIDENZA;,Proprietà
2,113,Fabbricato,M.11780-113-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,732,7,RESIDENZA;,Proprietà
2,114,Fabbricato,M.11790-114-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,16,RESIDENZA;,Proprietà
2,115,Fabbricato,M.11800-115-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,19,RESIDENZA;,Proprietà
2,116,Fabbricato,M.11910-116-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,18,RESIDENZA;,Proprietà
2,117,Fabbricato,M.11810-117-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,20,RESIDENZA;,Proprietà
2,118,Fabbricato,M.11820-118-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,21,RESIDENZA;,Proprietà
2,119,Fabbricato,M.11830-119-ABITAZIONE ERP,,"Palazzo Cadonici - Edificio
residenziale - Castello 5776
Corte Venier",V e n e z ia,C O R T E V E N I E R,5 7 7 6,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,731,22,RESIDENZA;,Proprietà
