page,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,46 Fabbricato,M.11180-46-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 10,RESIDENZA;
1,47 Fabbricato,M.11190-47-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 11,RESIDENZA;
1,48 Fabbricato,M.11200-48-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 12,RESIDENZA;
1,49 Fabbricato,M.11210-49-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 13,RESIDENZA;
1,50 Fabbricato,M.11220-50-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 14,RESIDENZA;
1,51 Fabbricato,M.11230-51-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 15,RESIDENZA;
1,52 Fabbricato,M.11240-52-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 16,RESIDENZA;
1,53 Fabbricato,M.11250-53-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 17,RESIDENZA;
1,54 Fabbricato,M.11260-54-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 18,RESIDENZA;
1,55 Fabbricato,M.11270-55-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 19,RESIDENZA;
1,56 Fabbricato,M.11280-56-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 20,RESIDENZA;
1,57 Fabbricato,M.11290-57-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 22,RESIDENZA;
1,58 Fabbricato,M.11300-58-ABITAZIONE ERP,13,Fabbricato residenziale - Calle ,dei Nicoli,,,SAN MARCO-CASTELLO-SANT'ELENA- ,CASTELLO,01 - Venezia,16,,4883 23,RESIDENZA;
1,,,,,,,pag. 1,,,,,,,
