page,Identificativo U.I.,tipologia U.I.,descrizione U.I.,Id. Cespite,descrizione Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp.,Sub,Uso in atto,Titolarità
2,94,Fabbricato,94-ABITAZIONE ERP,27,Edificio residenziale Calle dietro la chiesa,,,,,CASTELLO,01 Venezia,16,2261,27,RESIDENZA;,Proprietà
2,95,Fabbricato,M.11720-95-ABITAZIONE ERP,28,Fabbricato residenziale Calle dell'Olio 3110,Venezia,CALLE DE L'OGIO,3110,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2229,7,RESIDENZA;,Proprietà
2,96,Fabbricato,M.11620-96-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3752,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,2,RESIDENZA:,Proprietà
2,97,Fabbricato,M.11630-97-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3753,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,10,RESIDENZA;,Proprietà
2,98,Fabbricato,M.11640-98-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3753,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,11,RESIDENZA:,Proprietà
2,99,Fabbricato,M.11650-99-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3754,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,12,RESIDENZA;,Proprietà
2,100,Fabbricato,M.11660-100-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3754,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,13,RESIDENZA;,Proprietà
2,101,Fabbricato,M.11670-101-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3755,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,3,RESIDENZA;,Proprietà
2,102,Fabbricato,M.11680-102-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3756,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,8,RESIDENZA;,Proprietà
2,103,Fabbricato,M.11690-103-ABITAZIONE ERP,29,Edificio residenziale Campiello del Piovan 3752,Venezia,CAMPIELLO DEL PIOVAN,3756,SAN MARCO-CASTELLO-SANTELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1898,,RESIDENZA:,Proprietà
2,106,Fabbricato,M.143670-106-ABITAZIONE ERP,31,Edificio residenziale Ramo Mezzo 5520 O c.lle della fava ex ulss,Venezia,RAMO DE MEZO,5520,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,803,13,RESIDENZA;,Proprietà
2,107,Fabbricato,M.143660-107-ABITAZIONE ERP,31,Edificio residenziale Ramo Mezzo 5520 O c.lle della fava ex ulss,Venezia,RAMO DE MEZO,5520,SAN MARCO-CASTELLO-SANTELENA- CANNAREGIO,CASTELLO,01 Venezia,16,803,12,RESIDENZA;,Proprietà
2,108,Fabbricato,M.1150196-108-ABITAZIONE ERP,32,Edificio residenziale Calle della Corona 4741,Venezia,CALLE DE LA CORONA,4741,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1403,9,RESIDENZA;,Proprietà
2,111,Fabbricato,M.11770-111-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,11,RESIDENZA;,Proprietà
2,112,Fabbricato,M.11760-112-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,12,RESIDENZA;,Proprietà
2,113,Fabbricato,M.11780-113-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,13,RESIDENZA;,Proprietà
2,113,Fabbricato,M.11780-113-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANTELENA- CANNAREGIO,CASTELLO,01 Venezia,16,732,,RESIDENZA;,Proprietà
2,114,Fabbricato,M.11790-114-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,16,RESIDENZA;,Proprietà
2,115,Fabbricato,M.11800-115-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,19,RESIDENZA;,Proprietà
2,116,Fabbricato,M.11910-116-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANTELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,18,RESIDENZA;,Proprietà
2,117,Fabbricato,M.11810-117-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,20,RESIDENZA;,Proprietà
2,118,Fabbricato,M.11820-118-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,21,RESIDENZA;,Proprietà
2,119,Fabbricato,M.11830-119-ABITAZIONE ERP,33,Palazzo Cadonici Edificio residenziale Castello 5776 Corte Venier,Venezia,CORTE VENIER,5776,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,731,22,RESIDENZA;,Proprietà
