page,Identificativo U.I.,tipologia U.I.,descrizione U.I.,Id. Cespite,descrizione Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp.,Sub,Uso in atto,Titolarità
2,80,Fabbricato,M.137060-80-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,14,RESIDENZA;,Proprietà
2,81,Fabbricato,M.137070-81-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,15,RESIDENZA;,Proprietà
2,82,Fabbricato,M.137080-82-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,16,RESIDENZA;,Proprietà
2,83,Fabbricato,M.137090-83-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,17,RESIDENZA;,Proprietà
2,84,Fabbricato,M.137100-84-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,18,RESIDENZA;,Proprietà
2,85,Fabbricato,M.137140-85-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,19,RESIDENZA:,Proprietà
2,86,Fabbricato,M.137110-86-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,20,RESIDENZA;,Proprietà
2,87,Fabbricato,M.137120-87-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,21,RESIDENZA;,Proprietà
2,88,Fabbricato,M.137130-88-ABITAZIONE ERP,24,"Fabbricato residenziale Castello, S. Giustina",Venezia,CALLE DEL TEDEUM,2832,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,2433,22,RESIDENZA;,Proprietà
2,93,Fabbricato,M.1150200-93-ABITAZIONE ERP,26,Edificio residenziale Salizzada dei Greci,Venezia,SALIZADA DEI GRECI,3307,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,1695,3,RESIDENZA;,Proprietà
